,CD4.prot,CD8A.prot
274232,0.45987704,0.5955762
658724,1.1349034,0.11937283
318294,0.9007978,0.23151876
515670,0.97663385,0.18732035
35445,1.1851432,0.1008947
105357,0.9891993,0.18449156
331151,1.1516131,0.107717484
110563,1.2083302,0.09446419
235195,1.091456,0.136342
221022,0.98315775,0.18389708
511791,1.2041395,0.094845355
320873,1.168639,0.10683468
329575,1.0632086,0.14978719
327663,0.7322001,0.34550035
133483,1.1638126,0.108703695
602314,0.057669003,1.3306819
218197,1.1944048,0.098632015
277077,1.1507788,0.11318845
740475,1.1472648,0.11402456
224978,1.1184441,0.12603594
243495,0.49270856,0.5562669
353093,1.1065174,0.13088089
338642,1.3167901,0.061554164
253438,0.7650791,0.32135084
264059,1.1529647,0.11311537
145537,1.0769168,0.14316711
561462,0.8346352,0.2744749
213797,0.9561392,0.19884637
643782,1.1524378,0.11016277
726046,1.1307411,0.121210486
449519,0.09669886,1.1812551
345374,1.0179234,0.17061062
457993,1.0580616,0.15079676
773507,1.0880518,0.13778633
248876,1.133669,0.11966519
648985,0.9925145,0.17979541
186096,1.1236898,0.12231874
646246,0.5966506,0.45827293
815471,0.7523707,0.33033693
266984,1.0825185,0.1364183
382950,1.1119331,0.12860937
460858,1.1799909,0.10309939
55027,0.6722128,0.39402634
176639,0.3346819,0.7060267
658340,1.0826112,0.14004278
485330,0.89728034,0.23536927
186653,1.2399141,0.083953835
67104,1.2377667,0.08337494
345578,1.1986428,0.09685591
98632,1.1706419,0.10609148
489694,1.1809632,0.10272759
108402,1.0775625,0.14353973
402140,1.0297652,0.15905854
313796,1.0164274,0.17103115
422394,1.224577,0.08869765
97900,1.1763717,0.105130434
759360,1.1476614,0.11474206
278814,1.192271,0.09789773
652775,1.1280997,0.12131676
170446,1.0980699,0.1343696
529694,0.97370726,0.1903893
766249,0.1213825,1.1302862
778491,0.7868403,0.30645022
162262,1.0162055,0.17132947
786751,1.096144,0.13455997
23515,1.1358,0.11855763
325141,1.2174188,0.09079371
740694,0.97019094,0.19480053
158957,0.8144029,0.28765932
136692,1.1407238,0.117353626
650465,1.1718671,0.10617032
696784,1.0387564,0.15776458
34927,0.3122186,0.77008164
858615,1.1025003,0.13042355
138888,1.1675627,0.107627116
511237,1.2671665,0.072885245
48165,1.1447026,0.11574861
319873,1.0601171,0.15063205
352071,1.1026602,0.13221002
421279,1.1235241,0.12417486
226502,1.1269844,0.12135767
321587,1.2219378,0.0887799
319744,1.1593169,0.11071142
